exp_id,exp_desc,algo,params,test_rmse,train_rmse,train_time
2735,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.6485319561772414, 'learning_rate': 0.14597635387677266, 'min_child_weight': 30, 'min_split_gain': 0.7444197632763998, 'n_estimators': 300, 'num_leaves': 80, 'reg_alpha': 0.34803313714432865, 'reg_lambda': 0.779293013881024, 'subsample_for_bin': 100000.0, 'subsample': 1.0}",3.718695576341934,3.59135925557793,13.867770394000217
4136,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.9066313883033362, 'learning_rate': 0.3555715162787369, 'min_child_weight': 175, 'min_split_gain': 0.4637526828496205, 'n_estimators': 800, 'num_leaves': 87, 'reg_alpha': 0.8695230563444872, 'reg_lambda': 0.44082259662739115, 'subsample_for_bin': 160000.0, 'subsample': 0.789736348878856}",3.751535931304225,3.6704309336900183,29.76781504599967
5954,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.6146571202291361, 'learning_rate': 0.08845832757640099, 'min_child_weight': 35, 'min_split_gain': 0.1874254087583043, 'n_estimators': 700, 'num_leaves': 36, 'reg_alpha': 0.787416292126707, 'reg_lambda': 0.5521275770632086, 'subsample_for_bin': 220000.0, 'subsample': 1.0}",3.7258901379518505,3.6629420024282084,10.480137594000553
2891,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.7389231741820392, 'learning_rate': 0.12548158599634301, 'min_child_weight': 190, 'min_split_gain': 0.5300709626737445, 'n_estimators': 700, 'num_leaves': 175, 'reg_alpha': 0.17624901658839515, 'reg_lambda': 0.7234849809713471, 'subsample_for_bin': 180000.0, 'subsample': 1.0}",3.715328729165203,3.6322103290243257,17.563764313999854
6278,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.7575177448961208, 'learning_rate': 0.014307862119132089, 'min_child_weight': 115, 'min_split_gain': 0.9924238880823565, 'n_estimators': 700, 'num_leaves': 51, 'reg_alpha': 0.28795596659285755, 'reg_lambda': 0.017184862664919285, 'subsample_for_bin': 240000.0, 'subsample': 1.0}",3.711296015745943,3.6427971012219893,20.659081556000274
7329,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6568303387322874, 'learning_rate': 0.30288235354167453, 'min_child_weight': 180, 'min_split_gain': 0.5717653294444226, 'n_estimators': 200, 'num_leaves': 74, 'reg_alpha': 0.9748327622464755, 'reg_lambda': 0.2339154313198487, 'subsample_for_bin': 40000.0, 'subsample': 0.757884693108577}",3.6961816426905787,3.5648937159210705,14.645830614999795
4940,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9731474605527941, 'learning_rate': 0.25444696962645397, 'min_child_weight': 100, 'min_split_gain': 0.21775367540850343, 'n_estimators': 400, 'num_leaves': 132, 'reg_alpha': 0.19172431700514758, 'reg_lambda': 0.6897250931579948, 'subsample_for_bin': 200000.0, 'subsample': 0.3916684297756816}",3.706754240229964,3.6151974350997955,17.564914792999843
7986,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.7050111514646099, 'learning_rate': 0.07126473917355891, 'min_child_weight': 30, 'min_split_gain': 0.4243451866475029, 'n_estimators': 400, 'num_leaves': 86, 'reg_alpha': 0.41013310053173757, 'reg_lambda': 0.4528158876171298, 'subsample_for_bin': 280000.0, 'subsample': 0.25608477986281597}",3.704391931806084,3.5526183440010355,52.24966669100013
526,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.8395999953840965, 'learning_rate': 0.19867637334498175, 'min_child_weight': 130, 'min_split_gain': 0.9502933004096531, 'n_estimators': 800, 'num_leaves': 153, 'reg_alpha': 0.010697367051874905, 'reg_lambda': 0.7063958644366212, 'subsample_for_bin': 120000.0, 'subsample': 0.8954542796528193}",3.7063734568704954,3.496850485725892,62.65225939599986
3572,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.5751271656320668, 'learning_rate': 0.10320842331088036, 'min_child_weight': 180, 'min_split_gain': 0.05435056574838118, 'n_estimators': 200, 'num_leaves': 149, 'reg_alpha': 0.33704504710674676, 'reg_lambda': 0.5774258307732933, 'subsample_for_bin': 40000.0, 'subsample': 1.0}",3.7153366187579024,3.6176151417906532,19.311332393000157
